
00:31:57,624,467,924,,,Udara,fresh
00:32:27,629,464,913,,,Udara,fresh
00:32:57,623,466,918,,,Udara,fresh
00:33:27,623,459,920,,,Udara,fresh
00:33:57,623,466,911,,,Udara,fresh
00:34:27,618,463,907,,,Udara,fresh
00:34:57,613,459,912,,,Udara,fresh
00:35:27,616,464,910,,,Udara,fresh
00:35:57,608,459,912,,,Udara,fresh
00:36:27,614,462,912,,,Udara,fresh
00:36:57,603,467,923,,,Udara,fresh
00:37:27,609,461,907,,,Udara,fresh
00:37:57,606,463,906,,,Udara,fresh
00:38:27,592,464,905,,,Udara,fresh
00:38:57,607,458,897,,,Udara,fresh
00:39:27,603,461,899,,,Udara,fresh
00:39:57,599,458,897,,,Udara,fresh
00:40:27,595,453,896,,,Udara,fresh
00:40:57,594,448,899,,,Udara,fresh
00:41:27,595,458,896,,,Udara,fresh
00:41:57,587,439,885,,,Udara,fresh
00:42:27,604,464,899,,,Udara,fresh
00:42:57,611,459,900,,,Udara,fresh
00:43:27,592,450,893,,,Udara,fresh
00:43:57,587,462,892,,,Udara,fresh
00:44:27,586,450,895,,,Udara,fresh
00:44:57,590,464,887,,,Udara,fresh
00:45:27,592,457,861,,,Udara,fresh
00:45:57,587,457,887,,,Udara,fresh
00:46:27,585,458,886,,,Udara,fresh
00:46:57,583,455,884,,,Udara,fresh
00:47:27,588,453,887,,,Udara,fresh
00:47:57,583,455,885,,,Udara,fresh
00:48:27,597,464,883,,,Udara,fresh
00:48:57,589,450,880,,,Udara,fresh
00:49:27,585,454,884,,,Udara,fresh
00:49:57,581,459,884,,,Udara,fresh
00:50:27,581,448,891,,,Udara,fresh
00:50:57,579,453,882,,,Udara,fresh
00:51:27,579,453,880,,,Udara,fresh
00:51:57,585,448,885,,,Udara,fresh
00:52:27,587,457,880,,,Udara,fresh
00:52:57,573,439,879,,,Udara,fresh
00:53:27,577,458,863,,,Udara,fresh
00:53:57,581,451,878,,,Udara,fresh
00:54:27,579,450,878,,,Udara,fresh
00:54:57,553,448,874,,,Udara,fresh
00:55:27,558,453,875,,,Udara,fresh
00:55:57,591,410,871,,,Udara,fresh
00:56:27,569,454,874,,,Udara,fresh
00:56:57,565,451,880,,,Udara,fresh
